Real,Prediccion
4082.58,4226.070576619046
3509.6,3989.878409425186
5546.08,5472.697821335152
3247.3,3277.357250842051
3177.16,3177.4546669588854
2446.44,2363.617990011351
4802.72,4809.624472808631
8069.6,8062.589973459522
4951.96,6325.109036698195
1274.64,217.96101258534418
2913.76,3704.410124278853
2598.08,2538.956412413432
4366.44,4542.718059819394
3728.48,3816.1980345448665
1523.25,733.4725529489206
4588.38,4615.670460928786
4133.88,4363.599919688377
1611.32,1409.3266721193177
1692.72,990.3639660740309
3275.7,3752.8089358469024
6101.82,5950.588699017413
3488.64,3601.6598611425343
2546.96,2548.579790374255
8923.04,8425.002324132302
3331.02,3436.2682187426617
2373.4,2256.6322735761496
2815.92,2678.927864279609
2654.56,2742.8680088784276
3807.58,3863.46735200289
12942.1,10769.875129201395
1764.65,1306.3451924682759
1346.4,604.684616839405
2731.6,2712.8749172661646
2557.2,2520.0061538811733
5204.2,6575.550196420218
3470.85,3874.669901050427
3204.9,3564.709283363176
1931.4,1465.5617064411836
3016.16,3084.17057306684
1701.12,1677.3747694936956
2321.2,2247.0036242664573
2551.52,2371.6629526885426
2921.28,2880.292219250612
5720.6,5730.870865455898
2502.16,2436.2860426950447
1854.3,1490.219496939032
2199.96,2008.4414725398437
1624.2,1548.5995205270492
4109.38,4784.713428061481
3145.14,3314.567949020611
2703.42,2879.3927400796856
3200.34,3807.8371428228056
2706.62,2889.886925440782
3585.68,3608.797780946097
3985.6,4040.6873413417143
2339.36,2362.3656645748324
3970.68,4349.919746516445
2739.1,2793.9569698174746
6228.48,6373.289509440061
2683.2,2652.7311798557785
2627.4,2485.3331417882673
10850.4,9514.043360062473
2637.53,2737.8168783938236
3221.52,3217.749208477866
2223.0,2065.991248359419
1527.8,779.1056908796927
5288.8,5301.761116874475
2866.95,3208.387264217594
2055.5,1938.2219934733057
3621.76,3809.6116610726567
7781.8,7495.608546700907
3047.58,3366.7648806557754
12914.4,10546.596992588275
3617.46,3602.311718360599
1785.3,1253.770957536317
1719.36,954.9395493985039
4077.12,4381.544598315762
2494.52,2287.39035734127
2785.44,2835.346618706657
6179.6,7167.395141431389
2513.04,2392.0388127277165
4857.12,5127.752059614408
3240.36,3627.0480662449336
3860.0,4013.4018100346693
3913.98,3966.9541328394935
3552.92,3587.9738449668475
3503.1,4012.226169997213
8414.84,8208.0939749124
3655.0,4091.967434532975
12029.7,10217.859764309407
2091.66,1813.8111970976597
2440.02,3516.818627126335
3095.52,3179.2658697239494
4977.6,4897.309190301359
5021.4,5186.544044278724
2655.76,2800.5953935568195
1980.8,1654.7903375925252
5070.8,5189.671201436357
1640.04,1486.3005789852568
2207.66,1929.6816177059754
8435.18,7794.391218033672
5102.88,5039.712052678427
6876.8,7580.720026238163
2993.4,3033.623355754884
1873.38,2145.653156303476
3376.32,3325.2493294704436
4200.32,4281.342984252706
9706.32,8820.722409475668
8699.6,8293.890632126959
5480.82,5348.598493034888
2260.56,2023.5217304583002
3582.72,3631.8408980443874
2613.7,2552.328357079772
5495.55,7163.3828793035555
9999.36,9179.36378774272
3310.4,3695.318486723858
2435.3,2235.820019801735
7025.46,7162.845034005521
5290.04,6817.029532681581
8706.1,8161.288035015508
2048.58,1703.680880786118
6104.7,6168.937541668092
4426.44,5511.973528451241
11007.6,9609.90352087058
2615.34,2600.6061416881294
1699.1,1246.6011319820173
3363.48,3323.4182932441054
2600.08,2411.5055780778075
5402.74,5476.225404817502
3992.66,3891.557998511409
4893.84,6409.048346378155
15957.2,11997.76417478406
4809.84,5081.64269172839
4507.3,4562.220691927198
2357.28,2315.427584698653
3326.67,3568.479566946564
2315.04,2141.900132846221
1684.0,1023.1128651676008
7345.6,7838.1193715047375
2393.2,2455.3013019605933
4330.2,4339.493517370975
4617.86,5899.734160908703
2431.6,2310.8935405290977
3684.34,4424.83431905102
3986.4,4217.929720210534
8029.92,7436.642681459081
1524.28,1044.807327305527
2408.88,2334.710743577545
6339.75,7895.869273719463
2342.96,2159.396203366363
2922.84,3068.34596801139
3288.8,3477.9326628110466
1477.96,1039.8962595010807
1864.98,1294.878737256111
1414.15,411.1360583558708
5617.92,5624.043961996327
2300.06,2135.938994976449
3831.68,3942.5414226715566
8836.24,8282.288756006143
3024.14,3038.9342438301774
2748.72,2826.5179296692822
4447.8,4506.1523232824275
2759.16,2712.3410720634347
5101.04,5171.366210644977
2463.65,2324.403551675292
3719.4,6119.31342339533
9819.6,9095.43445279189
2605.05,2735.937863474368
2783.4,2751.401574751897
3125.85,3570.763930935249
5323.89,6580.3430182662305
4408.74,4498.365131934694
2560.8,2615.120030343087
2245.2,2013.3103034501855
2932.32,3109.980361141528
7378.28,7691.247983069317
7966.32,7504.611423171853
2672.24,2556.8462655222647
17177.7,12050.193668007298
2616.08,2481.903721377008
2748.72,2751.2768617109323
1967.04,1513.340244772061
4369.68,4503.351686501936
6611.64,7349.464537557082
4098.6,4320.171614188379
11010.2,9598.67666889967
5213.52,6576.72050255465
4583.74,4720.525241979891
2031.75,1660.4842341383765
2546.16,2535.5846670832234
3211.88,3141.931309399335
3568.74,3681.2976924900377
3988.32,4309.531562373448
6855.12,9139.156065084
2836.08,2750.8796922629354
2914.38,2895.97666804061
5756.52,7027.800817528507
7614.6,7735.940834386371
2495.29,2395.602363356358
3594.0,4142.164837213246
2555.98,2512.044925983033
1953.84,1522.4937934931877
3223.64,3298.7561966160793
2464.63,2427.7425303393557
3597.3,3979.0309939906765
8805.44,8297.980819864213
8518.64,7975.291757782796
2216.32,2302.97944367693
10211.3,9314.241221618788
10344.4,9226.511078022571
4099.62,4116.147733816966
2888.16,3046.661660023874
2029.08,1565.8993756516657
2740.16,2771.5124522623446
5905.76,5779.805357267738
2621.92,2718.4332401730207
5330.38,5581.325928283268
8717.04,8527.040008001162
3533.46,3518.7694125355174
2273.95,2140.891160608772
1657.4,954.0543775816705
4787.46,4684.788467002456
6351.24,7256.718386118586
3222.66,3324.8070612239862
1749.54,1770.7093240783433
2882.64,2976.774153914581
7787.08,7881.914404559082
2842.32,3601.5033530665387
7031.88,6718.829098675609
1151.82,509.89588099211414
2521.6,2487.4993791770357
4560.64,4734.644729016791
5845.14,7062.05055842673
6742.98,6422.9166765278715
1887.9,2295.854599810613
2280.74,2063.126632575988
5763.66,7067.864039856104
2515.44,2297.354984248206
3854.56,3949.7869608142973
3559.04,3660.4798801105826
7353.2,6856.521958473368
2041.26,1771.921160630055
2314.5,2185.365230428646
2244.18,1961.09822256369
5944.32,6975.277338718199
2295.8,2164.996588653682
5532.0,5557.669485118675
2755.52,2888.1723162616345
8494.36,8195.223956744696
4351.68,4342.840092851637
1420.6,887.6696326714318
3427.56,3402.430385285852
2972.7,3228.700376386363
5026.56,5093.859711246556
1981.8,1599.1660815390678
1920.84,1249.131458660131
1734.84,1170.6240636980847
5037.36,5241.460240642389
2704.08,2705.6750608721104
4178.02,4426.717048268129
4661.88,4917.3524487853865
5813.94,5855.20832652376
3072.08,3329.273311418745
3842.55,4164.471464807626
3904.32,3978.2839301574986
4367.36,4351.288930194727
4907.7,4954.970767237839
1097.34,234.20968521086706
1613.52,1502.4267642252444
4254.24,4210.0944779585825
9249.84,8632.570592023314
1761.48,1207.7942408757044
1952.16,1394.0452108280278
5183.6,5345.368240880354
1888.75,1550.4071142356215
5057.92,5266.590826427444
6026.8,7134.8508330664845
10278.8,8803.87403057352
2374.2,2309.005232738382
3324.6,3714.5487197670827
6277.04,7209.676469004573
2591.54,2461.808376179177
8442.36,8378.849971744803
3267.46,3288.6819697196224
1233.63,924.0502571587103
2750.22,2981.5381580871344
2055.84,2011.8212857030894
3793.79,4397.755701868715
7077.28,7528.260467846307
2221.9,2043.972417982749
3299.2,3951.182234082493
1778.65,1352.851513820542
3633.48,3914.826983567111
4717.26,4712.731182692622
5163.08,6362.986582863379
8822.52,8247.01066648285
2153.04,1806.9901120765626
16813.7,11973.36396010541
7083.18,7211.941966728586
2111.58,1792.3800491276606
3119.2,3120.9329274968622
2628.12,2568.0842959634574
5427.38,6767.41552716385
4700.22,4753.415224733264
2399.53,2284.110613651723
2248.88,2098.209188421647
2756.1,2760.9844493892615
3061.92,3352.4987855453564
1781.7,1893.6745121472159
3772.48,3887.1739948153227
8065.72,7574.113232288515
3671.04,3746.824751632903
9976.0,9385.090253440028
1094.58,400.4001312886976
1730.65,1120.3377911285725
3422.58,3374.0839864746413
4909.68,6332.059033285179
5045.76,4999.4204840412895
3020.16,2896.201957756184
