Variable,Coeficiente,Impacto_Absoluto
Cabinas_Reservadas,1391.682257421191,1391.682257421191
Pasajeros_Reserva,1305.9019160378782,1305.9019160378782
Noches_Estancia,553.3550234726349,553.3550234726349
Puntuacion_Satisfaccion,-308.0543965195981,308.0543965195981
Gasto_Promedio_Diario_Huesped_USD,15.848277196736433,15.848277196736433
Porcentaje_Ocupacion_Ciclo,5.174562319189249,5.174562319189249
Booking_Source_encoded,3.076353823028543,3.076353823028543
Package_encoded,2.835745078890045,2.835745078890045
Guest_Country_encoded,-1.1456762966566272,1.1456762966566272
Barco_encoded,0.8769955064876527,0.8769955064876527
Lead_Time_Dias,0.3408801719057014,0.3408801719057014
Tripulacion,-0.0024002988357665345,0.0024002988357665345
